#Software	Original_ID_Pattern	Target_Class	Target_Superfamily	Notes
# ==============================================================================
# RepLibBuilder TE Mapping Rules
# ==============================================================================
# 1. SOFTWARE-SPECIFIC RULES (Highest Priority)
# ==============================================================================
# EDTA: DT* encoding -> Dfam canonical superfamilies
# TEsorter LINE: subfamily refinements and rollups to Dfam canonical
TEsorter	(?i)^LINE/RTEX$	LINE	RTE-X	TEsorter_LINE_RTEX_to_RTE_X
TEsorter	(?i)^LINE/RTETP$	LINE	RTE-BovB	TEsorter_LINE_RTETP_to_RTE_BovB
TEsorter	(?i)^LINE/Rex1$	LINE	Rex-Babar	TEsorter_LINE_Rex1_to_Rex_Babar
TEsorter	(?i)^LINE/L2A$	LINE	L2	TEsorter_LINE_L2A_to_L2_parent
TEsorter	(?i)^LINE/L2B$	LINE	L2	TEsorter_LINE_L2B_to_L2_parent
# TEsorter LINE obscure clades (not in Dfam) -> LINE/Unknown
# (consistent with v5.2 Repbase strategy for the same clade names)
TEsorter	(?i)^LINE/Crack$	LINE	Unknown	TEsorter_LINE_Crack_to_bare
TEsorter	(?i)^LINE/Daphne$	LINE	Unknown	TEsorter_LINE_Daphne_to_bare
TEsorter	(?i)^LINE/Hero$	LINE	Unknown	TEsorter_LINE_Hero_to_bare
TEsorter	(?i)^LINE/Ingi$	LINE	Unknown	TEsorter_LINE_Ingi_to_bare
TEsorter	(?i)^LINE/Nimb$	LINE	Unknown	TEsorter_LINE_Nimb_to_bare
TEsorter	(?i)^LINE/Outcast$	LINE	Unknown	TEsorter_LINE_Outcast_to_bare
TEsorter	(?i)^LINE/RandI$	LINE	Unknown	TEsorter_LINE_RandI_to_bare
TEsorter	(?i)^LTR/mixture	LTR	Unknown	TEsorter_mixture_to_Unknown
# v5.3.5: TEsorter 'sine' database emits SINE/<family-name> for 88 distinct
# family names (AtSB2, BoSB10A, p-SINE1_OS, SINE2-*_OS, ...). None of these
# family names are Dfam canonical Subtypes, so passing them through verbatim
# produces SINE/X labels that RepeatMasker .tbl treats as Unclassified.
# Roll up to SINE/Unknown (analogous to the TEsorter rare-LINE rollups
# above). Loses TEsorter SINE family-name resolution but keeps the label
# Dfam-canonical and avoids 88 cross-source asymmetries.
TEsorter	(?i)^SINE/.*$	SINE	Unknown	TEsorter_SINE_family_to_bare
TEsorter	(?i)^mixture/mixture	Unknown	Unknown	TEsorter_mixture_to_Unknown

# ==============================================================================
# 5. PUBLIC DB RULES (Repbase & Dfam) - MUST BE ABOVE GLOBAL CATCH-ALLS
# ==============================================================================
#
# ------------------------------------------------------------------------------
# REPBASE RULES (v5 - Dfam canonical alignment)
# ------------------------------------------------------------------------------
# Organized by canonical Class. Targets selected from Dfam TEClasses.tsv
# columns repeatmasker_type + repeatmasker_subtype.
#
# Repbase entries that have no Dfam canonical Subtype (long-tail names from
# old Repbase: Crack, Kiri, NeSL, Nimb, Outcast, Vingi, Ingi, Daphne, Hydra
# as LINE, Rehavkus, Neptune as LTR, etc.) are mapped to BARE Class form
# (e.g. LINE/Unknown). This is intentional: RepeatMasker treats LINE/Unknown
# as a valid "LINE" classification in the .tbl, while a fabricated subtype
# like "LINE/Crack" would be counted as Unclassified.
#
# v5 specifically removes the DROP block (gene fragments and mis-entries
# like gag, transposase, reverse transcriptase, Pseudogene, etc.); those
# now fall through to the Repbase local catch-all (Unknown/Unknown) and
# are retained as Unknown/Unverified (the length-based Suspected_FP review
# was removed after 5-species data refuted the >4kb-no-domain heuristic).
# ------------------------------------------------------------------------------

# ----- LTR Retrotransposons (Class I) -----
# Gypsy / Copia: canonical bare forms
Repbase	(?i)^Gypsy.*	LTR	Gypsy	Repbase_Gypsy_main
Repbase	(?i)^GYPSY[ _-].*	LTR	Gypsy	Repbase_Gypsy_variant
Repbase	(?i)^Copia.*	LTR	Copia	Repbase_Copia_main
Repbase	(?i)^SIRE.*	LTR	Copia	Repbase_SIRE_to_Copia
# Bel-Pao -> LTR/Pao (canonical)
Repbase	(?i)^BEL.*	LTR	Pao	Repbase_BEL_to_Pao
# DIRS group: canonical LTR/DIRS and LTR/Ngaro
Repbase	(?i)^DIRS.*	LTR	DIRS	Repbase_DIRS
Repbase	(?i)^Naiad.*	PLE	Naiad	Repbase_Naiad_to_PLE
Repbase	(?i)^Chlamys.*	PLE	Chlamys	Repbase_Chlamys_to_PLE
Repbase	(?i)^Coprina.*	PLE	Coprina	Repbase_Coprina_to_PLE
# ERV family - canonical subtypes preserved
Repbase	(?i)^ERV1.*	LTR	ERV1	Repbase_ERV1
Repbase	(?i)^ERV2.*	LTR	ERVK	Repbase_ERV2_to_ERVK
